# Starting test run
x y points n_ticks consumed_balls
743 139 26 2965 13
368 463 14 2161 7
236 225 30 2272 15
511 50 22 2440 11
133 574 32 4081 15
113 9 25 5720 12
466 31 30 3235 15
541 583 27 5637 13
250 187 26 2801 13
50 320 27 5795 13
718 294 22 5990 11
338 262 26 2701 13
241 395 26 2961 13
248 556 6 1370 3
571 400 26 2931 13
170 464 28 2890 14
446 49 26 3976 13
64 282 10 2433 5
430 108 22 3065 11
556 208 0 1000 0
607 29 27 6700 13
535 214 32 1979 16
610 429 22 3186 11
577 423 28 2785 14
12 371 18 3292 9
5 103 22 3157 11
524 21 28 5690 13
34 320 28 3618 14
727 91 26 3034 13
420 443 28 2932 14
675 22 16 2779 8
127 463 20 2568 10
794 509 2 1198 1
79 206 26 3144 13
721 61 30 4403 15
112 256 28 3695 14
572 521 26 2888 13
78 31 28 4747 14
535 581 34 6369 15
62 435 29 3034 14
112 353 20 2414 10
753 525 34 6050 15
292 112 31 5033 15
207 76 26 3546 13
712 164 28 2953 14
234 98 26 4039 13
131 220 28 3617 14
301 551 24 5368 12
313 366 26 2720 13
315 423 30 3218 15
572 438 22 2764 11
743 445 27 5674 13
283 357 28 3031 14
510 172 24 2360 12
74 441 18 2994 9
102 336 22 2732 11
324 38 18 1906 9
303 545 24 3481 12
763 31 24 3485 12
209 75 20 2428 10
386 65 24 3641 12
271 452 26 4220 13
682 205 26 3469 13
340 10 2 1257 1
83 138 8 1200 4
682 17 20 3131 10
295 86 26 2485 13
731 171 22 2978 11
416 336 28 4216 14
333 572 28 4399 13
419 165 26 3164 13
284 504 26 2859 13
536 81 26 2882 13
48 496 12 1516 6
369 194 27 5143 13
442 193 31 3098 15
239 4 18 3125 9
330 110 26 4135 13
636 562 31 3426 15
717 480 14 2687 7
523 575 32 5572 15
253 498 28 3706 14
441 390 26 2832 13
383 347 24 3156 12
277 591 16 4118 8
616 263 25 3207 12
352 403 30 2883 15
376 21 10 2922 5
504 283 12 1775 6
499 83 25 3829 12
720 473 24 2977 12
168 556 31 4700 14
457 128 0 1000 0
510 544 18 3213 9
740 551 26 5693 13
533 350 28 3826 14
746 41 31 4406 14
550 354 24 4230 12
767 296 22 2708 11
680 260 26 3302 13
2 22 10 2722 5
460 593 21 3486 10
720 299 22 2306 11
491 324 24 1954 12
559 150 26 4555 13
431 468 26 4181 13
240 392 24 3407 12
632 270 27 4689 13
10 154 20 3027 10
789 122 28 3627 14
795 173 22 4250 11
91 396 28 3809 14
224 304 34 4448 16
650 155 22 3444 11
45 504 10 2233 5
676 427 26 3270 13
573 556 10 3289 5
101 135 30 3833 15
463 207 22 2777 11
146 384 24 2544 12
606 164 20 3877 10
600 305 29 3646 14
721 201 22 3138 11
89 39 16 2597 8
396 269 28 3890 14
147 437 28 3007 14
204 329 29 5676 13
758 559 29 4756 14
465 516 24 2293 12
583 461 28 3542 14
492 132 22 2238 11
52 4 19 3067 9
252 23 0 1000 0
453 475 28 3395 14
335 122 18 3671 9
496 38 18 4092 9
35 162 0 1000 0
153 498 26 4223 13
668 214 28 2829 14
511 397 29 3272 14
414 194 26 4047 13
253 130 16 3457 8
159 521 24 3111 12
178 508 30 3476 15
476 186 28 2762 14
547 206 30 3080 15
81 31 28 4841 14
350 14 24 3840 12
436 481 16 2823 8
263 79 24 3976 12
104 95 33 6639 15
126 234 26 3855 13
243 194 33 3163 16
645 587 23 4053 11
196 379 24 1877 12
386 499 30 4241 15
288 238 28 2698 14
168 462 22 3268 11
266 173 29 5410 14
35 551 16 3332 8
385 290 22 4870 11
237 300 30 4037 15
393 315 26 3696 13
677 322 6 2636 3
25 438 4 2143 2
735 156 12 1416 6
477 131 32 2464 16
92 324 28 3744 14
516 405 24 3774 12
541 236 22 2919 11
149 195 26 3634 13
630 341 20 3279 10
479 245 28 2319 14
537 432 28 2612 14
344 343 22 2760 11
471 399 34 3942 16
423 321 14 2587 7
437 78 22 2910 11
345 546 30 3323 15
348 261 30 3354 15
593 234 22 2925 11
268 66 26 3527 13
163 293 26 2614 13
746 538 14 3181 7
165 380 28 2915 14
389 404 26 3318 13
154 156 12 3299 6
311 217 30 3684 15
452 105 20 3701 10
76 515 24 3430 12
676 74 26 2260 13
456 459 14 3670 7
237 44 24 4112 12
672 401 18 2395 9
183 271 30 4027 15
449 335 32 3764 16
597 252 26 2592 13
266 368 31 3964 15
583 538 32 4618 14
447 520 24 5176 12
613 179 24 3471 12
276 257 31 4275 14
95 383 22 3404 11
244 14 31 5188 15
329 123 24 3857 12
474 390 24 3944 12
772 422 30 3364 15
141 515 24 3193 12
766 189 27 4562 13
443 575 20 5423 10
50 116 27 3891 13
314 107 22 3027 11
159 139 24 3850 12
785 23 0 1000 0
83 310 33 5118 14
43 484 20 4386 10
360 588 28 3753 14
800 209 23 4616 11
459 460 16 2085 8
421 315 30 3189 14
548 322 26 4445 13
792 523 30 4808 15
639 256 18 3356 9
613 432 14 3432 7
287 365 30 3419 15
400 326 18 3914 9
4 524 8 1377 4
301 192 28 3043 14
178 103 20 2367 10
735 191 24 2895 12
375 30 35 2768 16
604 211 30 2733 14
287 383 26 2874 13
69 218 2 1362 1
128 534 22 4702 11
241 420 28 3780 14
134 267 24 2529 12
321 163 26 2606 13
630 60 28 3532 14
41 445 18 3696 9
225 472 29 4897 14
440 85 8 1614 4
7 521 10 1711 5
87 201 30 4411 15
310 337 28 4299 13
379 67 28 3368 14
665 265 28 4030 14
364 311 29 5399 14
152 591 0 1000 0
546 599 2 1091 1
396 189 28 2594 14
302 398 24 2806 12
279 32 32 4870 14
592 423 26 2940 13
220 64 23 3908 11
41 215 24 2657 12
47 133 24 3619 12
773 158 24 4983 12
540 258 30 3049 15
789 465 18 3884 9
573 441 28 3039 14
562 207 33 1668 16
773 226 0 1000 0
107 588 22 4122 11
574 101 26 2465 13
367 1 24 5808 12
735 331 18 3451 9
364 189 30 2763 15
665 130 27 3624 13
10 482 4 2055 2
688 476 25 3401 12
300 199 24 3210 12
319 254 26 2511 13
688 506 30 5610 13
198 28 29 4142 13
272 112 30 2481 15
90 77 26 4385 13
488 380 30 4408 15
459 31 30 3544 14
611 87 18 2013 9
613 231 28 3489 14
164 597 14 3402 7
361 113 28 4981 14
230 342 28 5280 14
34 300 24 4661 12
318 536 28 3049 14
1 444 26 4467 13
796 245 23 5650 11
464 485 24 1975 12
197 596 29 5677 13
138 42 18 3243 9
563 203 28 4323 14
494 75 22 3981 11
8 516 0 1000 0
91 342 30 4617 15
216 168 33 4831 15
443 157 28 4554 14
759 595 16 4918 8
437 247 30 5889 14
207 465 24 3510 12
228 503 33 5430 15
622 372 20 2150 10
209 358 30 4783 15
597 58 10 2164 5
215 37 24 4935 12
367 245 24 3174 12
405 481 24 2786 12
703 237 0 1000 0
458 337 26 2725 13
79 218 26 3419 13
41 300 26 4264 12
346 555 24 4905 12
753 506 24 3027 12
532 380 28 3193 14
672 364 26 3347 13
299 5 4 1910 2
622 426 28 3203 14
163 121 30 4562 15
681 91 22 2792 11
49 71 8 2359 4
743 371 24 5085 11
662 66 30 3030 15
454 142 26 4030 13
355 258 26 3045 13
